FirsrName,LastName,EmailId,MobileNumber,CCGId,AddressLine1,AddressLine2,City,State,Country,ZipCode,UserType
FN1,LN1,FN1@Millionlights.org,9000000000,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100000,MillionLight
FN2,LN2,FN2@Millionlights.org,9000000001,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100001,MillionLight
FN3,LN3,FN1@Millionlights.org,9000000002,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100002,MillionLight
FN4,LN4,FN2@Millionlights.org,9000000003,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100003,MillionLight
FN5,LN5,FN1@Millionlights.org,9000000004,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100004,MillionLight
FN6,LN6,FN2@Millionlights.org,9000000005,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100005,MillionLight
FN7,LN7,FN1@Millionlights.org,9000000006,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100006,MillionLight
FN8,LN8,FN2@Millionlights.org,9000000007,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100007,MillionLight
FN9,LN9,FN1@Millionlights.org,9000000008,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100008,MillionLight
FN10,LN10,FN2@Millionlights.org,9000000009,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100009,MillionLight
FN11,LN11,FN1@Millionlights.org,9000000010,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100010,MillionLight
FN12,LN12,FN2@Millionlights.org,9000000011,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100011,MillionLight
FN13,LN13,FN1@Millionlights.org,9000000012,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100012,MillionLight
FN14,LN14,FN2@Millionlights.org,9000000013,,Kalyani Nagar,Viman Nagar,Aurgangabad,Maharashra,India,100013,MillionLight
